sequence,Restaurant_Name,Place_ID,Address,Category,"AI_Summary
_Pros",AI_Summary_Cons,Must_Try_Dishes,"Kaki_Maka
n_Tip
(Where the
Soul Is)",Status
7087,Saravanaa Bhavan,ChIJ5atxeMRLzDER5KtCOJDn8Go,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7088,W1 Dining & Cocktails,ChIJF142B2pSzDER2lgV35kfZtY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7089,Pasta Panas,ChIJ-cKXSNlNzDERrNwOMuWzP0k,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7090,Ril's Bangsar,ChIJOZRlxqJJzDERNYdQWKRO-38,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7091,Glitz,ChIJbaW4Z1dLzDERrbY5Tedl3JY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7092,Jia Siang Mix Rice,ChIJlXMu4-BLzDER12T-0Tm6HnM,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7093,Upperhouse Kitchen & Dessert Bar,ChIJeYuOc5hJzDERnZ3j9CpKyNQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7094,Alexis Bistro,ChIJi8A4dJhJzDER5S34PCD3Pus,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7095,Table9,ChIJRXW8dZhJzDEREjhwOWYz7wk,,Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
7096,Berjaya,ChIJobp95Bg3zDERJ_WsCo070cM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7097,Roost,ChIJXzwxT5hJzDERQ-2SMA22MQo,,Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
7098,Bait,ChIJ1QgaRphJzDERluCNvIPthH4,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
7099,The Social @ Bangsar,ChIJQcUvQZhJzDERn-3RQdW0Xns,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7100,Warung Tapaw,ChIJ0QS5Sy03zDEReUXScOE7-4o,,Malaysian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7101,Sithique Nasi Kandar Pulau Pinang,ChIJCRrHBS5IzDERtXUzCAT7-0k,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7102,Salai Master Damansara,ChIJJzu1osRPzDERQmcGQc2imRI,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7103,Dinella Western Foods Kuantan,ChIJq6qqqoa6yDERIRRWOoXn4Ck,"E421A, Jalan Kampung Tengah, KUANTAN, 25100",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7104,ASAM LAKSA UTARA (SEGAMAT),ChIJQR-4JEbTzzER1-FEbTb8TxA,"293E, Jalan Salem, Segamat, 85000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7105,Summer Cafe,ChIJZRk90NyfzDERtzXLjgvQRxI,"40, Jalan SBBC 8, Sungai Besar, 45300",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7106,Restoran Hidayat RHM,ChIJ_XtfDv2fzDER0Rgdgjcnv18,"2-8, Jalan SBBC 8, Sungai Besar, 45300",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7107,Super Saigon Bangsar KL - Pho Beef Noodle,ChIJk9ioJcxJzDERfwsbiHPX-QM,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7108,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7109,Nasi Kerabu Panji,ChIJJXMZGEOwtjERcXTcoolGRc0,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7110,Fellini,ChIJk8JMaVVLzDERcVdyVYjkxXc,Jalan Gasing,Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
7111,Restoran RT,ChIJP0omoXOzzTERNqVCrnAjA6E,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7112,ABC Food's Corner,ChIJm-_4d3dKzDERIuQP5Cq4xI0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7113,Restoran Seri Badar,ChIJ6wibdPJGzDERMdQrHYTsMhQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7114,Greentown Corner,ChIJJ0XVdvXsyjERgexA60StuVA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7115,Kafe Best Hillview,ChIJmUedS2TsyjERCN8sOocvbT8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7116,Salam 1 Cafe,ChIJ706kNc1ozDERtIZ8qQmZKJI,"51, Jln Inai 2, Bandar Bukit Beruntung, 48300",Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7117,Restoran Jasen Jaya,ChIJhfzm6jJvzDERkN4EX5kx0MU,"1, Jln Inai 2, Bandar Bukit Beruntung, 48300",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7118,Leleh Fruities Cafe,ChIJCfMaRe9KzDERj2aL4nLrZQA,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7119,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7120,Laksa Deris Legend,ChIJ191yDz69yjERdFSwqulSNrM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7121,Restoran Majestic Mahsyur,ChIJcVptHA_PzTERIeIif9FYNP4,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7122,Gerek Bistro,ChIJ8yt0iHuTyjERBJDPE4IWYm0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7123,Shuhada Tomyam Seafood,ChIJ3bbMHPyTyjERJ-NRRLRHqVI,"28, Lengkok Meru Permai",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
7124,R Heritage Recipies,ChIJuZQmr2STyjERBfTDnmgJXgE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7125,Nasi Kukus Majestic RM5,ChIJO2ZfvW6zzTERlVMpERSffFk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7126,Aunty Gemuk Char Kuey Teow,ChIJi-MAbg1MzDERL0WurbxZC3g,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7127,Restoran Mahmood Maju,ChIJi7ZuXotKzDERlBDEDr6P14I,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7128,Jai Hind's Corner,ChIJq23yu9JJzDER4ZFewMgo410,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7129,bihun sup utara daging secekak masjid putih,ChIJG__Fxh6xSjARy2qk220gUs4,"224, taman ilmu, Nibong Tebal, 14300",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7130,Delicious local food,ChIJWcUDgSVLzDER3viWU4b0Cy4,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7131,Mickey Thai Enterprise,ChIJj4OHFPiHyzERv5vD1L1_Wq0,,Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
7132,Lau Wan Kuetiau,ChIJm2OvuAtMzDERCHA0-otsPks,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7133,Nasi Kandar Fattaah,ChIJEyFLorGtzTERKgc2y0EGigU,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7134,Mr Bistro,ChIJeUdeuGS1zTERA9Emo0E2k5E,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7135,Passage Thru India,ChIJQZxS1jM2zDERyFaychAmqwU,"4, Jalan Delima",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7136,One Seafood,ChIJb4Nw8NVJzDERLQkjSW7QgsI,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
7137,Ayam Penyet Best Station,ChIJ1y8KT6xLzDERJpyRQdg2-IA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7138,Buena Brasa,ChIJ5ZnRFLZLzDER0Yiwk2NwwPQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7139,"Tom, Dick & Harry's",ChIJl5P7hf5LzDERMaqpboARk8c,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7140,The Public House,ChIJnYtYAgVLzDERdMHTksDfBhw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7141,The Farm Foodcraft,ChIJJREQE0dLzDERnPGMqBhrjQc,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7142,Rasa Viet,ChIJkX7pMl5IzDERI_SlfK4crs0,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7143,Portofino,ChIJYVyfnClKzDERuMnCOOMxY3M,,Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
7144,Five O'clock,ChIJ8axtc_RLzDERSCJK-qCUrSI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7145,Nyonya Tingkat Signature,ChIJE9dzs-9LzDERApXmx7jbG0Y,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7146,Koffie Craft,ChIJfcmKKYBLzDERrVSZ89-rcg8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7147,"Ali, Muthu & Ah Hock",ChIJl3gUnNpJzDERL6Lwx_U0f9w,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7148,Take A Bow,ChIJXQJlkhhLzDERSeEH27-D-A8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7149,Tonkatsu,ChIJTddRlHtJzDER_csBVZQdQEk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7150,Oiso,ChIJmXcGxCpKzDERh5ZFAd7Em_4,,Restaurant,,,"Korean BBQ, Kimchi, Bibimbap, Bulgogi",Unique dining experience worth exploring!,Processed
7151,The Porki Culture,ChIJeZHBjClKzDER3zUWCp1RE3A,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7152,Home Noodle,ChIJn5rBvIVLzDEROkrOalGZ0FE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7153,Oriental Treasure,ChIJa5rKjylKzDERNhBH95VGN-c,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7154,Ahh-Yum on the Hill,ChIJ9Tk-TBNJzDER2tJuoYTOvA8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7155,MAZI Greek Taverna KL,ChIJ-S2QKpVJzDERojEag62rbMA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7156,Nizam's Briyani,ChIJAxNQnkC1zTER_E2bdESeHPU,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7157,Restoran Fan Dang Jia,ChIJ0aKzd8xJzDERwsGc-FMrIJo,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7158,Pure Heart Vegetarian,ChIJO-BywqhHzDERsigcTiMWOXc,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7159,Teekaapi,ChIJ4RvwarBHzDER9qOvOnd0z0k,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7160,Pearl Cafe,ChIJ5yjL5Tu7yDERcrh65Mcuzrc,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7161,Union Coffee Shop,ChIJsR0S8_5NzDERnKpHomDCfKc,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7162,Train Head Hong Kong Dim Sum,ChIJZ0KnFdSPIjIRACoHEdIhWbI,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7163,Xiao Mian Guan,ChIJKQnpaghpOzIROKOqpeH41Ks,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7164,Tom Yam Restaurant,ChIJi6Vl0rCzzTER_eXJ-imB9M8,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7165,Kopi-O Cafe Limbang,ChIJVVfNFDaPIjIRgKQXx7SUcjE,,Asian Restaurant,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7166,Anjung Usahawan Limbang,ChIJgUPIQD-PIjIRQ1oDHjPiuRU,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7167,Mei Mum Coffee Shop,ChIJsWdeMbuJIjIR4H6gdwtpMFc,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7168,Mame Pizza Cafe @ Golden Triangle,ChIJF2Lrx1HBSjARXLdQs2MyZks,"29-1-33, Jalan Dato Ismail Hashim, Bayan Lepas, 11900",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
7169,Berisu Kitchen,ChIJm2qvD8vl0TERi0Q2OfLkpAo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7170,Fanoni Kitchen MITC,ChIJa_JFQ6Tl0TER-KrcQRr8Lw8,,Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
7171,Medan Selera PKNM,ChIJUwvg1svl0TERZYDE41wNXqY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7172,Restoran Asam Pedas Ani Parit Jawa MITC MELAKA,ChIJ61flPQ3l0TERjUzI0RSIocI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7173,Chamek Kopitiam,ChIJE9VlF85NzDERHWSOqd-VIFg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7174,Nasi Ayam Suria,ChIJt1HmS0Pl0TERAHqQ58fQBMw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7175,Nasi Kandar Padang Kota,ChIJGTYVFOBOzDERTMsbDnKAk2I,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7176,Nasi Beriani Roket,ChIJR-KgMQ3l0TERSWOAAcKEGBI,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7177,Ayam Penyet Lamongan,ChIJ6TiZ5lZNzDERODyZAi8JOEo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7178,Selera Warisan D'Maria,ChIJb3WJF3Y3zDER7QKWJEq_Hoo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7179,Mozari Cendol Asli & Asam Pedas & Beriani Johor,ChIJgwjzC6vl0TER9g77g-1EGEU,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7180,Restoran Ng Kim Yap,ChIJH1N3iaVczDERmdURFL65Vfo,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7181,Restoran Gao Lao,ChIJK1We4A05zDERxWcFq3ebabc,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7182,Restoran Yik Yik,ChIJt3Oj0DpJzDER0slC-dfARDA,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7183,The Hut,ChIJk-ZzcG1OHzIRZcpQ39Kl8s0,"6081-6082, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7184,K Food Restaurant,ChIJybS-fy_DSjAREPpvQNIhTuk,"294-G-4 & SA-4, Jalan Thean Teik, Penang, 11500",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7185,Jafar,ChIJjb6_BNJJzDERQI2rPH-xOrQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7186,Roti John Championz,ChIJSx9Kqrg3zDERIMqP7BacNOk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7187,Rumah Makan Patin Pasu,ChIJr7p84d85zDER3OfYJDg6WKc,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7188,Restoran Al-Marjan,ChIJYT9EaILl0TERe_cUZXfxI7M,"Leboh Ayer Keroh, Melaka, 75450",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7189,Restoran Desa Batu,ChIJ5XIMvBvl0TERBN15Gx1sAeE,"Malacca International Trade Centre, Ayer Keroh, Malacca, 75450",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7190,Rumah Makan Cibiuk Ayer Keroh,ChIJh-CIFhTl0TERcGR-fMzZ-ss,"10, Lingkaran Mitc, Kompleks Perniagaan MITC Perdana, 75450 Ayer Keroh，Melaka, 75450",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7191,Restoran Zahrin Asam Pedas,ChIJj6t8jhTl0TERazJxur9Nu9A,"No. 20 & 22, Jalan Lingkaran MITC, Malacca, 75450",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7192,Restoran Nasi Berlauk Lot 32,ChIJL-YTZhTl0TERFqqMskaDymI,"Jalan Lingkaran Mitc, Melaka International Trade Centre, Melaka, 75350",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7193,Restoran Sambil-Sambil,ChIJ0ZIKRW3l0TERmIiqNkYRIMI,"No. 36,, Jalan Lingkaran Mitc, Melaka International Trade Centre,, Melaka, 75350",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7194,D'Nashra Cake & Cafe,ChIJKbqRZhTl0TER8osf_sbq-p4,"No.38, Jalan Lingkaran Mitc, Melaka International Trade Centre, Melaka, Melaka, 75450",Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7195,Nasi Ayam Bonda Melaka,ChIJtexiYRTl0TERu3vti7EtWfo,"NO. 44, Melaka , (UNIT B-7), JALAN LINGKARAN MITC KOMPLEKS PERNIAGAAN MITC PERDANA AYER KEROH, Ayer Keroh, Melaka, 75450",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7196,Asam Pedas Johor Mozari 3,ChIJj8vFsuTl0TERTpCpVCogWzo,"Malacca International Trade Centre, Ayer Keroh, Malacca, 75450",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7197,Restoran Ikan Bakar Pak Din,ChIJYTl0vRTl0TERkz8BQQ-d8wU,"Lingkaran Mitc, Melaka International Trade Centre, Melaka, 75350",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7198,MD PUTU BAMBU WORLD,ChIJZfgeQBtHzDERUqJ0isZuaAU,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7199,Rasa Village It Centre,ChIJt86p4Azl0TER_GjN0pwHLes,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7200,Dima Restaurant,ChIJ77bCb4ROzDERgWLkwJsxWCg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7201,Dap'O Nasi Sup Daging Bakar,ChIJrRsgHG01zDERLdvNbAkBNng,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7202,Sepinang Sari Cafe,ChIJ-XV7U4un-zERgGsK3UzngAE,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7203,Cicchetti di Zenzero,ChIJZXrJT9U3zDERyD1H5ruJssM,,Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
7204,Restoran OK,ChIJeaXZQdZIzDERlsqzaTIiwNc,"Jalan Aminuddin Baki, Taman Tun Dr Ismail, 60000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
